sentence,sentiment,impact,sentiments,impacts,batch,film_title,sentences_nopunc,duplicated
"AMAZON PRIME VIDEO Everything about this documentary is first class, from the narration, to the sectioning and progression, and the visuals. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,amazon prime video everything about this documentary is first class from the narration to the sectioning and progression and the visuals,FALSE
"good quality, fast delivery, 3D player and TV required ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,good quality fast delivery 3d player and tv required,FALSE
Five stars.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,five stars,FALSE
"Great documentary, and you'll love the narrator's voice. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,great documentary and youll love the narrators voice,FALSE
The animation that shows how these storms form was terrific.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,the animation that shows how these storms form was terrific,FALSE
"Coupled with the unreal gorgeous imagery of Jupiter itself, it's a feast for the eyes. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,coupled with the unreal gorgeous imagery of jupiter itself its a feast for the eyes,FALSE
The visualizations alone convinced enough to watch the full credits.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,the visualizations alone convinced enough to watch the full credits,FALSE
Great space doc!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,great space doc,FALSE
This movie was very well made and I understand it so much better now.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,this movie was very well made and i understand it so much better now,FALSE
A must watch!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,a must watch,FALSE
Terrific,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,terrific,FALSE
Good document.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,good document,FALSE
Beautiful visualizations :),Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,beautiful visualizations,FALSE
4-stars.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,The Jupiter Enigma,4stars,FALSE
It is quite a short film but any space fan will like it.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,Space Junk,it is quite a short film but any space fan will like it,FALSE
Great3d reception.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,great3d reception,FALSE
I never expected this from just some documentary that's free on amazon prime.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,i never expected this from just some documentary thats free on amazon prime,FALSE
The documentary was interesting but presented little new material.,Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster,the documentary was interesting but presented little new material,FALSE
Spectacular footage and good solid science,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,spectacular footage and good solid science,FALSE
3D sound great also.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,3d sound great also,FALSE
It is a pretty good documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,it is a pretty good documentary,FALSE
I found this very enjoyable to watch.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,i found this very enjoyable to watch,FALSE
"Interesting, well presented graphically and educational. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,Space Junk,interesting well presented graphically and educational,FALSE
"More of that restraint with science public outreach, please... ",Positive,Engagement with Film,['Negative' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,Seeing the Beginning of Time,more of that restraint with science public outreach please,FALSE
It was not what I expected but still a good documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,it was not what i expected but still a good documentary,FALSE
This voice and Eric Todd Delums (How the Universe Works) are my favorite space narrators.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",1,Seeing the Beginning of Time,this voice and eric todd delums how the universe works are my favorite space narrators,FALSE
didn't finish watching it what I saw was pretty good tho,Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,didnt finish watching it what i saw was pretty good tho,FALSE
" Extraordinary!!"" ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,extraordinary,FALSE
" Very interestin, beautiful pictures, an excellent recreations. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,very interestin beautiful pictures an excellent recreations,FALSE
" Dick Rodstein has been around the block many times, and his voice is mesmerizing. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,dick rodstein has been around the block many times and his voice is mesmerizing,FALSE
Brings the dark matter / dark energy concepts together very well.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Seeing the Beginning of Time,brings the dark matter dark energy concepts together very well,FALSE
Good special.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,good special,FALSE
Overall it was worth watchinh,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,overall it was worth watchinh,FALSE
Interesting watch.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,interesting watch,FALSE
LOL Good stuff.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,lol good stuff,FALSE
The background music was well composed and subtle.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,the background music was well composed and subtle,FALSE
Very well done.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,very well done,FALSE
Just the facts!,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Shift in Knowledge' 'Not applicable'],1,Solar Superstorms: Journey to the Center of the Sun,just the facts,FALSE
Went further than other documentaries in terms of information.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Seeing the Beginning of Time,went further than other documentaries in terms of information,FALSE
" There are some greats shots of the storm, but the majority focuses on retracing the damage and discussing the construction factors that contributed to all of the fatalities. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster,there are some greats shots of the storm but the majority focuses on retracing the damage and discussing the construction factors that contributed to all of the fatalities,FALSE
One of my favorite documentaries of all time right now!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,one of my favorite documentaries of all time right now,FALSE
Very good documentary,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,very good documentary,FALSE
The graphics are informative and easy on the eyes.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,the graphics are informative and easy on the eyes,FALSE
"I love these kinds of documentaries and this one is great, very informative. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],1,Solar Superstorms: Journey to the Center of the Sun,i love these kinds of documentaries and this one is great very informative,FALSE
Dick Rodstein is an amazing Voice Over Artist.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Impersonal Report' 'Engagement with Film' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster,dick rodstein is an amazing voice over artist,FALSE
But the imagery is simply unmatched by anything I've ever seen before.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,but the imagery is simply unmatched by anything ive ever seen before,FALSE
Good shots and informative.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,good shots and informative,FALSE
Fairly accurate assessment of the event.,Positive,Engagement with Film,['Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,fairly accurate assessment of the event,FALSE
"Pretty images, anyhow. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,pretty images anyhow,FALSE
"Great storyline excellent cool graphics, very enjoyable film documentary nice to watch it and learn take some notes and really fantastic for relaxing ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,great storyline excellent cool graphics very enjoyable film documentary nice to watch it and learn take some notes and really fantastic for relaxing,FALSE
But a well put together film that keeps your attention with fascinating facts and fun 3D effects.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Space Junk,but a well put together film that keeps your attention with fascinating facts and fun 3d effects,FALSE
An amazing collaboration of cutting edge technologies presented with incredible simulations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,an amazing collaboration of cutting edge technologies presented with incredible simulations,FALSE
This was enjoyed by my son.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,this was enjoyed by my son,FALSE
Perhaps you'll enjoy it too.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Birth of Planet Earth,perhaps youll enjoy it too,FALSE
"At last, one of these for the layperson but NOT dumbed down. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Seeing the Beginning of Time,at last one of these for the layperson but not dumbed down,FALSE
Very interesting movie.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,very interesting movie,FALSE
Really gets to the science and study of tornadoes and the destructive nature of them.,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,really gets to the science and study of tornadoes and the destructive nature of them,FALSE
This is a good quality documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,this is a good quality documentary,FALSE
Quite intense.,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,quite intense,FALSE
Really enjoyed.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Space Junk,really enjoyed,FALSE
Incredible graphics and great information about the history of one of the members of our solar system.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,The Jupiter Enigma,incredible graphics and great information about the history of one of the members of our solar system,FALSE
The Jupiter Enigma achieves superiority with suppositions of space without the drama.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,the jupiter enigma achieves superiority with suppositions of space without the drama,FALSE
It is clearly up-to-date in presentation and science (being a 2016 production).,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,it is clearly uptodate in presentation and science being a 2016 production,FALSE
Please make about a million more of these fantastic space docs.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,please make about a million more of these fantastic space docs,FALSE
The 3D experience is awesome.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,the 3d experience is awesome,FALSE
Enjoyed this sad documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,enjoyed this sad documentary,FALSE
Very nicely done.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,very nicely done,FALSE
Well done documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,well done documentary,FALSE
A good look at the stuff circling the earth.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Interest with Science Topic'
 'Interest with Science Topic']",2,Space Junk,a good look at the stuff circling the earth,FALSE
Pretty good,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,pretty good,FALSE
Good documentry on tornados specifically about the one that hit Joslyn Mo.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,good documentry on tornados specifically about the one that hit joslyn mo,FALSE
Very good footage of tornado disasters and how they happen,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,very good footage of tornado disasters and how they happen,FALSE
Great graphics!!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,great graphics,FALSE
It wasn't boring.,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth,it wasnt boring,FALSE
I actually really liked it!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,i actually really liked it,FALSE
Worth a watch if you're a science nerd.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Interest with Science Topic']",2,The Jupiter Enigma,worth a watch if youre a science nerd,FALSE
"Informative, well-presented and superior video makes for interesting viewing. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,Solar Superstorms: Journey to the Center of the Sun,informative wellpresented and superior video makes for interesting viewing,FALSE
"It also offers a nice look at the community now, and the process of rebuilding. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,it also offers a nice look at the community now and the process of rebuilding,FALSE
I like the guy's voice who is narrating.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,i like the guys voice who is narrating,FALSE
My family enjoyed it.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",2,The Jupiter Enigma,my family enjoyed it,FALSE
The Jupiter Enigma surpasses the most advanced animation engine with digitally enhanced images of space without blood.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,the jupiter enigma surpasses the most advanced animation engine with digitally enhanced images of space without blood,FALSE
It was pretty good.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,it was pretty good,FALSE
Outstanding!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,outstanding,FALSE
Real,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Not applicable' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,real,FALSE
I enjoyed the movie it was very informative and the students were captivated .,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,i enjoyed the movie it was very informative and the students were captivated,FALSE
"A little science heavy for the average Joe but for the above average Joe, fascinating. - ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,a little science heavy for the average joe but for the above average joe fascinating,FALSE
Fun stuff!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film' 'Not applicable']",2,Space Junk,fun stuff,FALSE
The visuals & narrative kept me engaged.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth,the visuals narrative kept me engaged,FALSE
Excellent 3D blu-ray for a very low price.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,excellent 3d bluray for a very low price,FALSE
Fantastic high resolution images of Jupiter's dynamic atmosphere and major moons.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,fantastic high resolution images of jupiters dynamic atmosphere and major moons,FALSE
"The ""Universe Works"", or ""Through The Wormhole"", this will blow your mind, watch this. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Seeing the Beginning of Time,the universe works or through the wormhole this will blow your mind watch this,FALSE
Really staggering,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,really staggering,FALSE
"Also enjoyed the music, it was relaxing. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma,also enjoyed the music it was relaxing,FALSE
"I liked the brief interviews with Beth Williams, she is very articulate and clearly knows what she's talking about. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film' 'Engagement with Film']",2,Seeing the Beginning of Time,i liked the brief interviews with beth williams she is very articulate and clearly knows what shes talking about,FALSE
He's got a kind of young James Earl Jones thing going on that just pulls you in.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Solar Superstorms: Journey to the Center of the Sun,hes got a kind of young james earl jones thing going on that just pulls you in,FALSE
It turned out to be a lot better then I had figured.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster,it turned out to be a lot better then i had figured,FALSE
The animation in this documentary is incredible.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time,the animation in this documentary is incredible,FALSE
Picture QUALITY/Subject MATTER is just GREAT !,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Space Junk,picture qualitysubject matter is just great,FALSE
Great 3D,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,great 3d,FALSE
Why go outside and look at the night sky when I can see one inside my TV?,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral' 'Positive'],"['Engagement with Film' 'Interest with Science Topic' 'Impersonal Report'
 'Engagement with Film']",2,The Jupiter Enigma,why go outside and look at the night sky when i can see one inside my tv,FALSE
"good intro doc before watching gravity, nice demo of your 3d capabilities to your friends ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk,good intro doc before watching gravity nice demo of your 3d capabilities to your friends,FALSE
"While, the 3D effects are kind of hit and miss, the story itself is quite compelling, if not frightening. ",Positive,Engagement with Film,['Positive' 'Negative' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Space Junk,while the 3d effects are kind of hit and miss the story itself is quite compelling if not frightening,FALSE
Glad that I watched it.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,glad that i watched it,FALSE
It's been a pretty high-ranking run of shows reviewed by yours-truly...,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film' 'Engagement with Film']",2,Seeing the Beginning of Time,its been a pretty highranking run of shows reviewed by yourstruly,FALSE
Loved how they did the simulated sessions of how a storm starts and produces a tornado.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster,loved how they did the simulated sessions of how a storm starts and produces a tornado,FALSE
I enjoyed this program.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",2,Solar Superstorms: Journey to the Center of the Sun,i enjoyed this program,FALSE
This was somewhat informative and has decent entertainment value.,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,Solar Superstorms: Journey to the Center of the Sun,this was somewhat informative and has decent entertainment value,FALSE
"I'd like to start by saying the movie presents its somewhat complex material in a fun, easy to follow format. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Negative'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Space Junk,id like to start by saying the movie presents its somewhat complex material in a fun easy to follow format,FALSE
good 3d in bits interesting subject,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Space Junk,good 3d in bits interesting subject,FALSE
Don't get me wrong it was very informational.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Engagement with Film' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster,dont get me wrong it was very informational,FALSE
